Runs,Accuracy,Model,Dataset,,Slope,Slope of Slope,,,
3080400,0.8366499,DNN,32-4,,7.24062E-09,-2.13124E-13,,,
3171000,0.8377433,DNN,32-4,,1.20684E-08,5.32871E-14,,,
3261600,0.837962,DNN,32-4,,2.41391E-09,-1.06562E-13,,,
3352200,0.83971137,DNN,32-4,,1.93087E-08,1.86477E-13,,,
3442800,0.83993,DNN,32-4,,2.41313E-09,-1.86485E-13,,,
3533400,0.8408047,DNN,32-4,,9.65453E-09,7.9927E-14,,,
3624000,0.8412421,DNN,32-4,,4.82781E-09,-5.3275E-14,,,
3714600,0.8421168,DNN,32-4,,9.65453E-09,5.3275E-14,,,
3805200,0.84342885,DNN,32-4,,1.44818E-08,5.3281E-14,,,
3986400,0.84649026,DNN,32-4,,1.68952E-08,1.3319E-14,,,
4077000,0.84692764,DNN,32-4,,4.82759E-09,-1.33197E-13,,,
92300,0.61437625,DNN,32-5,,,,,,
184600,0.610662,DNN,32-5,,-4.02411E-08,,,,
276900,0.63141793,DNN,32-5,,2.24875E-07,2.87233E-12,,,
369200,0.6622242,DNN,32-5,,3.33762E-07,1.17972E-12,,,
461500,0.6925934,DNN,32-5,,3.29027E-07,-5.13036E-14,,,
553800,0.7247105,DNN,32-5,,3.47964E-07,2.0517E-13,,,
646100,0.7367271,DNN,32-5,,1.30191E-07,-2.35941E-12,,,
738400,0.7570461,DNN,32-5,,2.20141E-07,9.74541E-13,,,
830700,0.7699366,DNN,32-5,,1.39659E-07,-8.71962E-13,,,
923000,0.78479356,DNN,32-5,,1.60964E-07,2.30824E-13,,,
1015300,0.79681015,DNN,32-5,,1.30191E-07,-3.33405E-13,,,
1107600,0.8024907,DNN,32-5,,6.15444E-08,-7.43729E-13,,,
1199900,0.8038016,DNN,32-5,,1.42026E-08,-5.12912E-13,,,
1292200,0.8094822,DNN,32-5,,6.1545E-08,5.12918E-13,,,
1384500,0.81035614,DNN,32-5,,9.46847E-09,-5.64209E-13,,,
1476800,0.81800306,DNN,32-5,,8.28485E-08,7.95017E-13,,,
1569100,0.82171726,DNN,32-5,,4.02405E-08,-4.61625E-13,,,
1661400,0.8228097,DNN,32-5,,1.18358E-08,-3.07744E-13,,,
1753700,0.82346517,DNN,32-5,,7.10152E-09,-5.12918E-14,,,
1846000,0.82761633,DNN,32-5,,4.49746E-08,4.10326E-13,,,
1938300,0.82630545,DNN,32-5,,-1.42024E-08,-6.41138E-13,,,
2030600,0.8282718,DNN,32-5,,2.13039E-08,3.84683E-13,,,
2122900,0.832423,DNN,32-5,,4.49751E-08,2.56459E-13,,,
2215200,0.832423,DNN,32-5,,0,-4.87271E-13,,,
2307500,0.83307844,DNN,32-5,,7.10119E-09,7.6936E-14,,,
2399800,0.83460784,DNN,32-5,,1.65699E-08,1.02586E-13,,,
2492100,0.8357002,DNN,32-5,,1.18349E-08,-5.13E-14,,,
2584400,0.8359187,DNN,32-5,,2.36728E-09,-1.02574E-13,,,
91900,0.46498784,DNN,"10, 1",,,,,,
183800,0.6019439,DNN,"10, 1",,1.49027E-06,,,,
275700,0.68124586,DNN,"10, 1",,8.62916E-07,-6.82652E-12,,,
367600,0.7309477,DNN,"10, 1",,5.40825E-07,-3.50479E-12,,,
459500,0.7643031,DNN,"10, 1",,3.62953E-07,-1.9355E-12,,,
551400,0.7830793,DNN,"10, 1",,2.04311E-07,-1.72625E-12,,,
643300,0.80008835,DNN,"10, 1",,1.85082E-07,-2.09239E-13,,,
735200,0.8120168,DNN,"10, 1",,1.29798E-07,-6.01567E-13,,,
827100,0.82018995,DNN,"10, 1",,8.89353E-08,-4.44645E-13,,,
919000,0.8246079,DNN,"10, 1",,4.80734E-08,-4.44633E-13,,,
1010900,0.82725865,DNN,"10, 1",,2.88439E-08,-2.09245E-13,,1997600,1997600
1102800,0.8314557,DNN,"10, 1",,4.56697E-08,1.83089E-13,,,
1194700,0.83388555,DNN,"10, 1",,2.64402E-08,-2.09245E-13,,,
1286600,0.83609456,DNN,"10, 1",,2.40371E-08,-2.61485E-14,,,
1378500,0.8378617,DNN,"10, 1",,1.92289E-08,-5.23195E-14,,,
1470400,0.83984977,DNN,"10, 1",,2.1633E-08,2.61592E-14,,,
1562300,0.8409543,DNN,"10, 1",,1.20188E-08,-1.04615E-13,,,
1654200,0.84382594,DNN,"10, 1",,3.12474E-08,2.09234E-13,,,
1746100,0.8447095,DNN,"10, 1",,9.61436E-09,-2.35398E-13,,,
1838000,0.8451513,DNN,"10, 1",,4.8074E-09,-5.23065E-14,,,
1929900,0.8464767,DNN,"10, 1",,1.44222E-08,1.04622E-13,,,
2021800,0.8475812,DNN,"10, 1",,1.20185E-08,-2.61556E-14,,,
2113700,0.8491275,DNN,"10, 1",,1.68259E-08,5.23112E-14,,,
2205600,0.84956926,DNN,"10, 1",,4.80696E-09,-1.30783E-13,,,
2297500,0.8513364,DNN,"10, 1",,1.92289E-08,1.56931E-13,,,
2389400,0.8524409,DNN,"10, 1",,1.20185E-08,-7.84597E-14,,,
2481300,0.85222,DNN,"10, 1",,-2.4037E-09,-1.56934E-13,,,
2573200,0.8526618,DNN,"10, 1",,4.8074E-09,7.84668E-14,,,
2665100,0.8526618,DNN,"10, 1",,0,-5.23112E-14,,,
2757000,0.8528827,DNN,"10, 1",,2.4037E-09,2.61556E-14,,,
2848900,0.85354537,DNN,"10, 1",,7.21077E-09,5.23076E-14,,,
2940800,0.85376626,DNN,"10, 1",,2.40359E-09,-5.23088E-14,,,
3032700,0.8539872,DNN,"10, 1",,2.40413E-09,5.92024E-18,,,
3124600,0.8539872,DNN,"10, 1",,0,-2.61603E-14,,,
3216500,0.8542081,DNN,"10, 1",,2.4037E-09,2.61556E-14,,,
3308400,0.8542081,DNN,"10, 1",,0,-2.61556E-14,,,
3400300,0.8539872,DNN,"10, 1",,-2.4037E-09,-2.61556E-14,,,
3492200,0.8539872,DNN,"10, 1",,0,2.61556E-14,,,
3584100,0.854429,DNN,"10, 1",,4.8074E-09,5.23112E-14,,,
3676000,0.8550917,DNN,"10, 1",,7.2111E-09,2.61556E-14,,,
3767900,0.8550917,DNN,"10, 1",,0,-7.84668E-14,,,
3859800,0.8555335,DNN,"10, 1",,4.8074E-09,5.23112E-14,,,
3951700,0.85641706,DNN,"10, 1",,9.61436E-09,5.23065E-14,,,
4043600,0.8559753,DNN,"10, 1",,-4.80696E-09,-1.56924E-13,,,
91000,0.36988685,DNN,"10, 2",,,,,,
182000,0.37032202,DNN,"10, 2",,4.78209E-09,,,,
273000,0.41100958,DNN,"10, 2",,4.47116E-07,4.86081E-12,,,
364000,0.5826806,DNN,"10, 2",,1.88649E-06,1.58173E-11,,,
455000,0.66362053,DNN,"10, 2",,8.8945E-07,-1.09565E-11,,,
546000,0.6694952,DNN,"10, 2",,6.45568E-08,-9.06476E-12,,,
637000,0.6718886,DNN,"10, 2",,2.63011E-08,-4.20392E-13,,,
728000,0.6705831,DNN,"10, 2",,-1.43462E-08,-4.46673E-13,,,
819000,0.67754567,DNN,"10, 2",,7.65118E-08,9.98439E-13,,,
910000,0.67819846,DNN,"10, 2",,7.17352E-09,-7.61959E-13,,,
1001000,0.67754567,DNN,"10, 2",,-7.17352E-09,-1.5766E-13,,,
1092000,0.66579634,DNN,"10, 2",,-1.29114E-07,-1.34E-12,,,
1183000,0.65426457,DNN,"10, 2",,-1.26723E-07,2.62722E-14,,,
1274000,0.6586162,DNN,"10, 2",,4.78201E-08,1.91805E-12,,,
1365000,0.65992165,DNN,"10, 2",,1.43456E-08,-3.67852E-13,,,
1456000,0.6651436,DNN,"10, 2",,5.73841E-08,4.7295E-13,,,
1547000,0.6799391,DNN,"10, 2",,1.62588E-07,1.15609E-12,,,
1638000,0.6910357,DNN,"10, 2",,1.21941E-07,-4.46673E-13,,,
1729000,0.6958225,DNN,"10, 2",,5.26022E-08,-7.61961E-13,,,
1820000,0.6997389,DNN,"10, 2",,4.30374E-08,-1.05108E-13,,,
1911000,0.69821584,DNN,"10, 2",,-1.67369E-08,-6.5686E-13,,,
2002000,0.69778067,DNN,"10, 2",,-4.78209E-09,1.31372E-13,,,
2093000,0.69821584,DNN,"10, 2",,4.78209E-09,1.05101E-13,,,
2184000,0.6995213,DNN,"10, 2",,1.43457E-08,1.05095E-13,,,
2275000,0.7032202,DNN,"10, 2",,4.06473E-08,2.89028E-13,,,
2366000,0.70561355,DNN,"10, 2",,2.63005E-08,-1.57656E-13,,,
2457000,0.70931244,DNN,"10, 2",,4.06471E-08,1.57655E-13,,,
2548000,0.71257615,DNN,"10, 2",,3.58649E-08,-5.25516E-14,,,
2639000,0.7180157,DNN,"10, 2",,5.97753E-08,2.62751E-13,,,
2730000,0.72302,DNN,"10, 2",,5.49923E-08,-5.25601E-14,,,
2821000,0.73281115,DNN,"10, 2",,1.07595E-07,5.78052E-13,,,
2912000,0.73607486,DNN,"10, 2",,3.58649E-08,-7.88243E-13,,,
3003000,0.74499565,DNN,"10, 2",,9.80307E-08,6.8314E-13,,,
3094000,0.7569626,DNN,"10, 2",,1.31505E-07,3.67849E-13,,,
3185000,0.7647955,DNN,"10, 2",,8.60758E-08,-4.99221E-13,,,
3276000,0.78111404,DNN,"10, 2",,1.79325E-07,1.02471E-12,,,
3367000,0.7930809,DNN,"10, 2",,1.31504E-07,-5.25502E-13,,,
3458000,0.80548304,DNN,"10, 2",,1.36287E-07,5.25637E-14,,,
3549000,0.81766754,DNN,"10, 2",,1.33896E-07,-2.62819E-14,,,
3640000,0.8244125,DNN,"10, 2",,7.41204E-08,-6.5687E-13,,,
3731000,0.8305048,DNN,"10, 2",,6.69484E-08,-7.88142E-14,,,
3822000,0.841819,DNN,"10, 2",,1.24332E-07,6.30588E-13,,,
3913000,0.84312445,DNN,"10, 2",,1.43456E-08,-1.20864E-12,,,
4004000,0.8466057,DNN,"10, 2",,3.82555E-08,2.62746E-13,,,
4095000,0.8483464,DNN,"10, 2",,1.91286E-08,-2.10186E-13,,,
89700,0.35354418,DNN,"10,3",,,,,,
179400,0.35288987,DNN,"10,3",,-7.29443E-09,,,,
269100,0.44514722,DNN,"10,3",,1.02851E-06,1.15474E-11,,,
358800,0.4,DNN,"10,3",,-5.03313E-07,-1.70772E-11,,,
448500,0.42813522,DNN,"10,3",,3.13659E-07,9.10783E-12,,,
538200,0.49007633,DNN,"10,3",,6.90536E-07,4.20153E-12,,,
627900,0.5583424,DNN,"10,3",,7.61049E-07,7.86091E-13,,,
717600,0.6056707,DNN,"10,3",,5.27629E-07,-2.60223E-12,,,
807300,0.6348964,DNN,"10,3",,3.25816E-07,-2.24986E-12,,,
897000,0.6516903,DNN,"10,3",,1.87223E-07,-1.54507E-12,,,
986700,0.6569248,DNN,"10,3",,5.83556E-08,-1.43665E-12,,,
1076400,0.6591058,DNN,"10,3",,2.43144E-08,-3.79501E-13,,,
1166100,0.661723,DNN,"10,3",,2.91773E-08,5.42127E-14,,,
1255800,0.663904,DNN,"10,3",,2.43144E-08,-5.42127E-14,,,
1345500,0.66412216,DNN,"10,3",,2.43211E-09,-2.4395E-13,,,
1435200,0.663904,DNN,"10,3",,-2.43211E-09,-5.42276E-14,,,
1524900,0.66434026,DNN,"10,3",,4.86355E-09,8.13339E-14,,,
1614600,0.66324973,DNN,"10,3",,-1.21575E-08,-1.89756E-13,,,
1704300,0.6610687,DNN,"10,3",,-2.43147E-08,-1.35532E-13,,,
1794000,0.65976006,DNN,"10,3",,-1.45891E-08,1.08424E-13,,,
1883700,0.6429662,DNN,"10,3",,-1.87223E-07,-1.92456E-12,,,
1973400,0.62878954,DNN,"10,3",,-1.58045E-07,3.25276E-13,,,
2063100,0.6,DNN,"10,3",,-3.20954E-07,-1.81615E-12,,,
2152800,0.4183206,DNN,"10,3",,-2.02541E-06,-1.90018E-11,,,
2242500,0.6346783,DNN,"10,3",,2.41201E-06,4.94696E-11,,,
2332200,0.6346783,DNN,"10,3",,0,-2.68898E-11,,,
2421900,0.6211559,DNN,"10,3",,-1.50751E-07,-1.68062E-12,,,
2511600,0.61330426,DNN,"10,3",,-8.75322E-08,7.04785E-13,,,
2601300,0.65605235,DNN,"10,3",,4.76567E-07,6.28874E-12,,,
2691000,0.65801525,DNN,"10,3",,2.18829E-08,-5.06895E-12,,,
2780700,0.6741549,DNN,"10,3",,1.79929E-07,1.76194E-12,,,
2870400,0.6994547,DNN,"10,3",,2.82049E-07,1.13846E-12,,,
2960100,0.73260635,DNN,"10,3",,3.69584E-07,9.75859E-13,,,
3049800,0.7729553,DNN,"10,3",,4.49821E-07,8.94509E-13,,,
3139500,0.7897492,DNN,"10,3",,1.87223E-07,-2.92752E-12,,,
3229200,0.7910578,DNN,"10,3",,1.45886E-08,-1.92457E-12,,,
3318900,0.7954199,DNN,"10,3",,4.86299E-08,3.79501E-13,,,
3408600,0.8093784,DNN,"10,3",,1.55613E-07,1.19268E-12,,,
3498300,0.81352234,DNN,"10,3",,4.61978E-08,-1.21979E-12,,,
3588000,0.8185387,DNN,"10,3",,5.59237E-08,1.08428E-13,,,
3677700,0.8244275,DNN,"10,3",,6.56499E-08,1.0843E-13,,,
3767400,0.82878953,DNN,"10,3",,4.86291E-08,-1.89753E-13,,,
3857100,0.83009815,DNN,"10,3",,1.45889E-08,-3.7949E-13,,,
3946800,0.69007635,DNN,"10,3",,-1.561E-06,-1.75651E-11,,,
4036500,0.7354417,DNN,"10,3",,5.05745E-07,2.30407E-11,,,
4126200,0.71930206,DNN,"10,3",,-1.79929E-07,-7.64408E-12,,,
91900,0.723658,DNN,"10, 4",,,,,,
183800,0.7338193,DNN,"10, 4",,1.10569E-07,,,,
275700,0.7702673,DNN,"10, 4",,3.96605E-07,3.11247E-12,,,
367600,0.7848465,DNN,"10, 4",,1.58642E-07,-2.58937E-12,,,
459500,0.7981003,DNN,"10, 4",,1.4422E-07,-1.56934E-13,,,
551400,0.8080406,DNN,"10, 4",,1.08164E-07,-3.92334E-13,,,
643300,0.81665564,DNN,"10, 4",,9.37436E-08,-1.56917E-13,,,
735200,0.8186437,DNN,"10, 4",,2.16329E-08,-7.84666E-13,,,
827100,0.81974816,DNN,"10, 4",,1.20181E-08,-1.04622E-13,,,
919000,0.82063174,DNN,"10, 4",,9.61458E-09,-2.61532E-14,,,
1010900,0.8212944,DNN,"10, 4",,7.21066E-09,-2.6158E-14,,,
1102800,0.8212944,DNN,"10, 4",,0,-7.84621E-14,,,
1194700,0.8217363,DNN,"10, 4",,4.80849E-09,5.2323E-14,,,
1286600,0.8219572,DNN,"10, 4",,2.4037E-09,-2.61674E-14,,,
1378500,0.82217807,DNN,"10, 4",,2.40337E-09,-3.55214E-18,,,
1470400,0.82041085,DNN,"10, 4",,-1.92298E-08,-2.35399E-13,,,
1562300,0.82085264,DNN,"10, 4",,4.80729E-09,2.61557E-13,,,
1654200,0.82107353,DNN,"10, 4",,2.40359E-09,-2.61556E-14,,,
1746100,0.82217807,DNN,"10, 4",,1.20189E-08,1.04628E-13,,,
1838000,0.82284075,DNN,"10, 4",,7.21088E-09,-5.23183E-14,,,
1929900,0.824387,DNN,"10, 4",,1.68254E-08,1.04619E-13,,,
2021800,0.8246079,DNN,"10, 4",,2.4037E-09,-1.56928E-13,,,
2113700,0.8250497,DNN,"10, 4",,4.8074E-09,2.61556E-14,,,
2205600,0.8241661,DNN,"10, 4",,-9.6148E-09,-1.56934E-13,,,
2297500,0.8248288,DNN,"10, 4",,7.2111E-09,1.83089E-13,,,
2389400,0.8246079,DNN,"10, 4",,-2.4037E-09,-1.04622E-13,,,
2481300,0.8241661,DNN,"10, 4",,-4.8074E-09,-2.61556E-14,,,
2573200,0.82328254,DNN,"10, 4",,-9.61436E-09,-5.23065E-14,,,
2665100,0.82284075,DNN,"10, 4",,-4.80729E-09,5.23076E-14,,,
2757000,0.82261986,DNN,"10, 4",,-2.40359E-09,2.61556E-14,,,
2848900,0.82041085,DNN,"10, 4",,-2.40371E-08,-2.35403E-13,,,
2940800,0.8193064,DNN,"10, 4",,-1.2018E-08,1.30785E-13,,,
3032700,0.82041085,DNN,"10, 4",,1.2018E-08,2.61544E-13,,,
3124600,0.8190855,DNN,"10, 4",,-1.44217E-08,-2.877E-13,,,
3216500,0.81996906,DNN,"10, 4",,9.61436E-09,2.61545E-13,,,
3308400,0.82063174,DNN,"10, 4",,7.21088E-09,-2.61532E-14,,,
3400300,0.82107353,DNN,"10, 4",,4.80729E-09,-2.61544E-14,,,
3492200,0.81996906,DNN,"10, 4",,-1.20182E-08,-1.83084E-13,,,
3584100,0.8241661,DNN,"10, 4",,4.56696E-08,6.27724E-13,,,
3676000,0.8237243,DNN,"10, 4",,-4.8074E-09,-5.49261E-13,,,
3767900,0.8241661,DNN,"10, 4",,4.8074E-09,1.04622E-13,,,
3859800,0.824387,DNN,"10, 4",,2.4037E-09,-2.61556E-14,,,
3951700,0.8252706,DNN,"10, 4",,9.6148E-09,7.84668E-14,,,
4043600,0.8259333,DNN,"10, 4",,7.2111E-09,-2.61556E-14,,,
91900,0.46675503,DNN,"10, 5",,,,,,
183800,0.45107135,DNN,"10, 5",,-1.7066E-07,,,,
275700,0.50762093,DNN,"10, 5",,6.15338E-07,8.55276E-12,,,
367600,0.5858184,DNN,"10, 5",,8.50897E-07,2.56321E-12,,,
459500,0.62027836,DNN,"10, 5",,3.74972E-07,-5.17873E-12,,,
551400,0.646786,DNN,"10, 5",,2.8844E-07,-9.41592E-13,,,
643300,0.66202784,DNN,"10, 5",,1.65852E-07,-1.33392E-12,,,
735200,0.67528164,DNN,"10, 5",,1.4422E-07,-2.35393E-13,,,
827100,0.68831456,DNN,"10, 5",,1.41816E-07,-2.61532E-14,,,
919000,0.69560415,DNN,"10, 5",,7.93209E-08,-6.80037E-13,,,
1010900,0.70289373,DNN,"10, 5",,7.93208E-08,-1.18405E-18,,,
1102800,0.7101833,DNN,"10, 5",,7.93207E-08,-1.18405E-18,,,
1194700,0.7139386,DNN,"10, 5",,4.08629E-08,-4.18474E-13,,,
1286600,0.71658933,DNN,"10, 5",,2.88436E-08,-1.30786E-13,,,
1378500,0.7141595,DNN,"10, 5",,-2.64399E-08,-6.01562E-13,,,
1470400,0.71769387,DNN,"10, 5",,3.84589E-08,7.06189E-13,,,
1562300,0.72167,DNN,"10, 5",,4.32658E-08,5.23065E-14,,,
1654200,0.7205655,DNN,"10, 5",,-1.20185E-08,-6.01571E-13,,,
1746100,0.70952064,DNN,"10, 5",,-1.20183E-07,-1.17699E-12,,,
1838000,0.7042191,DNN,"10, 5",,-5.76881E-08,6.80036E-13,,,
1929900,0.70554453,DNN,"10, 5",,1.44225E-08,7.84664E-13,,,
2021800,0.70444,DNN,"10, 5",,-1.20188E-08,-2.87719E-13,,,
2113700,0.70532364,DNN,"10, 5",,9.61523E-09,2.35409E-13,,,
2205600,0.7031146,DNN,"10, 5",,-2.40374E-08,-3.66188E-13,,,
2297500,0.70488185,DNN,"10, 5",,1.92301E-08,4.70811E-13,,,
2389400,0.70444,DNN,"10, 5",,-4.80794E-09,-2.61568E-13,,,
2481300,0.70554453,DNN,"10, 5",,1.20188E-08,1.83099E-13,,,
2573200,0.71128786,DNN,"10, 5",,6.24954E-08,5.49256E-13,,,
2665100,0.719461,DNN,"10, 5",,8.89351E-08,2.87701E-13,,,
2757000,0.72962224,DNN,"10, 5",,1.10568E-07,2.354E-13,,,
2848900,0.73624915,DNN,"10, 5",,7.211E-08,-4.18481E-13,,,
2940800,0.7413298,DNN,"10, 5",,5.52845E-08,-1.83084E-13,,,
3032700,0.740888,DNN,"10, 5",,-4.8074E-09,-6.53884E-13,,,
3124600,0.74574775,DNN,"10, 5",,5.28808E-08,6.27728E-13,,,
3216500,0.7506075,DNN,"10, 5",,5.28808E-08,-1.31773E-26,,,
3308400,0.747294,DNN,"10, 5",,-3.60555E-08,-9.67751E-13,,,
3400300,0.7501657,DNN,"10, 5",,3.12481E-08,7.32357E-13,,,
3492200,0.7488403,DNN,"10, 5",,-1.44222E-08,-4.96956E-13,,,
3584100,0.75281644,DNN,"10, 5",,4.32659E-08,6.27727E-13,,,
3676000,0.7543627,DNN,"10, 5",,1.68255E-08,-2.87709E-13,,,
3767900,0.7548045,DNN,"10, 5",,4.8074E-09,-1.30773E-13,,,
3859800,0.7565717,DNN,"10, 5",,1.92296E-08,1.56934E-13,,,
3951700,0.7570135,DNN,"10, 5",,4.8074E-09,-1.56934E-13,,,
4043600,0.7572344,DNN,"10, 5",,2.4037E-09,-2.61556E-14,,,
11,0.906748198,RF,34,,,,,,
10,0.895596133,RF,32,,,,,,
13,0.899212943,RF,10,,,,,,
61850,0.9493671,CNN,,,,,,,
66850,0.9451477,CNN,,,,,,,
76850,0.98734176,CNN,,,,,,,
86850,0.8902954,CNN,,,,,,,
91100,0.5603619,DNN,5/7/max -34,,,,,,
182200,0.47539175,DNN,5/7/max -34,,,,,,
273300,0.48421982,DNN,5/7/max -34,,,,,,
364400,0.5557272,DNN,5/7/max -34,,,,,,
455500,0.592143,DNN,5/7/max -34,,,,,,
546600,0.60913706,DNN,5/7/max -34,,,,,,
637700,0.6303244,DNN,5/7/max -34,,,,,,
728800,0.6371662,DNN,5/7/max -34,,,,,,
819900,0.6515118,DNN,5/7/max -34,,,,,,
911000,0.67799604,DNN,5/7/max -34,,,,,,
1002100,0.6976385,DNN,5/7/max -34,,,,,,
1093200,0.73074377,DNN,5/7/max -34,,,,,,
1184300,0.75237256,DNN,5/7/max -34,,,,,,
1275400,0.7618627,DNN,5/7/max -34,,,,,,
1366500,0.7731185,DNN,5/7/max -34,,,,,,
1457600,0.78150517,DNN,5/7/max -34,,,,,,
1548700,0.78922975,DNN,5/7/max -34,,,,,,
1639800,0.7958508,DNN,5/7/max -34,,,,,,
1730900,0.8009269,DNN,5/7/max -34,,,,,,
1822000,0.8071066,DNN,5/7/max -34,,,,,,
1913100,0.81262416,DNN,5/7/max -34,,,,,,
2004200,0.8188038,DNN,5/7/max -34,,,,,,
2095300,0.82299715,DNN,5/7/max -34,,,,,,
2186400,0.8258663,DNN,5/7/max -34,,,,,,
2277500,0.82630765,DNN,5/7/max -34,,,,,,
2368600,0.82807326,DNN,5/7/max -34,,,,,,
2459700,0.8291768,DNN,5/7/max -34,,,,,,
2550800,0.8322666,DNN,5/7/max -34,,,,,,
2641900,0.83645993,DNN,5/7/max -34,,,,,,
2733000,0.8362392,DNN,5/7/max -34,,,,,,
2824100,0.838667,DNN,5/7/max -34,,,,,,
2915200,0.8424189,DNN,5/7/max -34,,,,,,
3006300,0.84263957,DNN,5/7/max -34,,,,,,
3097400,0.8441845,DNN,5/7/max -34,,,,,,
3188500,0.8437431,DNN,5/7/max -34,,,,,,
3279600,0.8450673,DNN,5/7/max -34,,,,,,
3370700,0.8466122,DNN,5/7/max -34,,,,,,
3461800,0.847495,DNN,5/7/max -34,,,,,,
3552900,0.84859854,DNN,5/7/max -34,,,,,,
3644000,0.84948134,DNN,5/7/max -34,,,,,,
3735100,0.85102624,DNN,5/7/max -34,,,,,,
3826200,0.85146767,DNN,5/7/max -34,,,,,,
3917300,0.85190904,DNN,5/7/max -34,,,,,,
4008400,0.8523505,DNN,5/7/max -34,,,,,,
4099500,0.8543368,DNN,5/7/max -34,,,,,,
4190600,0.8543368,DNN,5/7/max -34,,,,,,
4281700,0.8549989,DNN,5/7/max -34,,,,,,
90600,0.62584734,DNN,5/7/max -32,,,,,,
181200,0.60944676,DNN,5/7/max -32,,,,,,
271800,0.5031708,DNN,5/7/max -32,,,,,,
362400,0.5619943,DNN,5/7/max -32,,,,,,
453000,0.58539253,DNN,5/7/max -32,,,,,,
543600,0.6286901,DNN,5/7/max -32,,,,,,
634200,0.65646183,DNN,5/7/max -32,,,,,,
724800,0.6724251,DNN,5/7/max -32,,,,,,
815400,0.68576425,DNN,5/7/max -32,,,,,,
906000,0.7001968,DNN,5/7/max -32,,,,,,
996600,0.71266127,DNN,5/7/max -32,,,,,,
1087200,0.72490704,DNN,5/7/max -32,,,,,,
1177800,0.7336541,DNN,5/7/max -32,,,,,,
1268400,0.74415046,DNN,5/7/max -32,,,,,,
1359000,0.7574896,DNN,5/7/max -32,,,,,,
1449600,0.7668926,DNN,5/7/max -32,,,,,,
1540200,0.7749836,DNN,5/7/max -32,,,,,,
1630800,0.78154385,DNN,5/7/max -32,,,,,,
1721400,0.78504264,DNN,5/7/max -32,,,,,,
1812000,0.7905095,DNN,5/7/max -32,,,,,,
1902600,0.7977258,DNN,5/7/max -32,,,,,,
1993200,0.8012246,DNN,5/7/max -32,,,,,,
2083800,0.80363,DNN,5/7/max -32,,,,,,
2174400,0.8097529,DNN,5/7/max -32,,,,,,
2265000,0.81193966,DNN,5/7/max -32,,,,,,
2355600,0.81521976,DNN,5/7/max -32,,,,,,
2446200,0.81981194,DNN,5/7/max -32,,,,,,
2536800,0.82243603,DNN,5/7/max -32,,,,,,
2627400,0.8246228,DNN,5/7/max -32,,,,,,
2718000,0.8263722,DNN,5/7/max -32,,,,,,
2808600,0.8314017,DNN,5/7/max -32,,,,,,
2899200,0.8335885,DNN,5/7/max -32,,,,,,
2989800,0.8359939,DNN,5/7/max -32,,,,,,
3080400,0.8366499,DNN,5/7/max -32,,,,,,
3171000,0.8377433,DNN,5/7/max -32,,,,,,
3261600,0.837962,DNN,5/7/max -32,,,,,,
3352200,0.83971137,DNN,5/7/max -32,,,,,,
3442800,0.83993,DNN,5/7/max -32,,,,,,
3533400,0.8408047,DNN,5/7/max -32,,,,,,
3624000,0.8412421,DNN,5/7/max -32,,,,,,
3714600,0.8421168,DNN,5/7/max -32,,,,,,
3805200,0.84342885,DNN,5/7/max -32,,,,,,
3986400,0.84649026,DNN,5/7/max -32,,,,,,
4077000,0.84692764,DNN,5/7/max -32,,,,,,
91900,0.46675503,DNN,5/7/max -10,,,,,,
183800,0.45107135,DNN,5/7/max -10,,,,,,
275700,0.50762093,DNN,5/7/max -10,,,,,,
367600,0.5858184,DNN,5/7/max -10,,,,,,
459500,0.62027836,DNN,5/7/max -10,,,,,,
551400,0.646786,DNN,5/7/max -10,,,,,,
643300,0.66202784,DNN,5/7/max -10,,,,,,
735200,0.67528164,DNN,5/7/max -10,,,,,,
827100,0.68831456,DNN,5/7/max -10,,,,,,
919000,0.69560415,DNN,5/7/max -10,,,,,,
1010900,0.70289373,DNN,5/7/max -10,,,,,,
1102800,0.7101833,DNN,5/7/max -10,,,,,,
1194700,0.7139386,DNN,5/7/max -10,,,,,,
1286600,0.71658933,DNN,5/7/max -10,,,,,,
1378500,0.7141595,DNN,5/7/max -10,,,,,,
1470400,0.71769387,DNN,5/7/max -10,,,,,,
1562300,0.72167,DNN,5/7/max -10,,,,,,
1654200,0.7205655,DNN,5/7/max -10,,,,,,
1746100,0.70952064,DNN,5/7/max -10,,,,,,
1838000,0.7042191,DNN,5/7/max -10,,,,,,
1929900,0.70554453,DNN,5/7/max -10,,,,,,
2021800,0.70444,DNN,5/7/max -10,,,,,,
2113700,0.70532364,DNN,5/7/max -10,,,,,,
2205600,0.7031146,DNN,5/7/max -10,,,,,,
2297500,0.70488185,DNN,5/7/max -10,,,,,,
2389400,0.70444,DNN,5/7/max -10,,,,,,
2481300,0.70554453,DNN,5/7/max -10,,,,,,
2573200,0.71128786,DNN,5/7/max -10,,,,,,
2665100,0.719461,DNN,5/7/max -10,,,,,,
2757000,0.72962224,DNN,5/7/max -10,,,,,,
2848900,0.73624915,DNN,5/7/max -10,,,,,,
2940800,0.7413298,DNN,5/7/max -10,,,,,,
3032700,0.740888,DNN,5/7/max -10,,,,,,
3124600,0.74574775,DNN,5/7/max -10,,,,,,
3216500,0.7506075,DNN,5/7/max -10,,,,,,
3308400,0.747294,DNN,5/7/max -10,,,,,,
3400300,0.7501657,DNN,5/7/max -10,,,,,,
